bndno,bp_b_purchased_counts,bp_b_purchased_sum,bp_b_purchased_day_ucounts,bp_first_b_purchased_counts,bp_second_b_purchased_counts,bp_fourth_b_purchased_counts,bp_fifth_b_purchased_counts,bp_trend_b_purchased_counts_df,bp_first_b_purchased_sum,bp_second_b_purchased_sum,bp_fourth_b_purchased_sum,bp_fifth_b_purchased_sum,bp_trend_b_purchased_sum_df,bp_first_b_purchased_day_ucounts,bp_second_b_purchased_day_ucounts,bp_fourth_b_purchased_day_ucounts,bp_fifth_b_purchased_day_ucounts,bp_trend_b_purchased_day_ucounts_df,bp_b_has_p_ucounts,bp_first_b_has_p_ucounts,bp_second_b_has_p_ucounts,bp_fourth_b_has_p_ucounts,bp_fifth_b_has_p_ucounts,bp_trend_b_has_p_ucounts_df,bp_b_has_u_ucounts,bp_first_b_has_u_ucounts,bp_second_b_has_u_ucounts,bp_fourth_b_has_u_ucounts,bp_fifth_b_has_u_ucounts,bp_trend_b_has_u_ucounts_df,bp_monthly_b_purchased_counts_mean,bp_monthly_b_purchased_counts_std,bp_monthly_b_purchased_counts_max,bp_monthly_b_purchased_counts_median,bp_monthly_b_purchased_sum_mean,bp_monthly_b_purchased_sum_std,bp_monthly_b_purchased_sum_max,bp_monthly_b_purchased_sum_median,bp_monthly_b_purchased_day_ucounts_mean,bp_monthly_b_purchased_day_ucounts_std,bp_monthly_b_purchased_day_ucounts_max,bp_monthly_b_purchased_day_ucounts_median,bp_monthly_b_has_p_ucounts_mean,bp_monthly_b_has_p_ucounts_std,bp_monthly_b_has_p_ucounts_max,bp_monthly_b_has_p_ucounts_median,bp_monthly_b_has_u_ucounts_mean,bp_monthly_b_has_u_ucounts_std,bp_monthly_b_has_u_ucounts_max,bp_monthly_b_has_u_ucounts_median,bp_bnd_user_agg_counts_mean,bp_bnd_user_agg_counts_std,bp_bnd_user_agg_counts_max,bp_bnd_user_agg_counts_median,bp_bnd_user_agg_sum_mean,bp_bnd_user_agg_sum_std,bp_bnd_user_agg_sum_max,bp_bnd_user_agg_sum_median,bp_bnd_user_agg_day_ucounts_mean,bp_bnd_user_agg_day_ucounts_std,bp_bnd_user_agg_day_ucounts_max,bp_bnd_user_agg_day_ucounts_median,bp_b_l_w_purchased_counts,bp_b_l_w_purchased_sum,bp_b_l_w_purchased_day_ucounts,bp_b_l_w_has_p_ucounts,bp_b_l_w_has_u_ucounts,bp_b_l_m_purchased_counts,bp_b_l_m_purchased_sum,bp_b_l_m_purchased_day_ucounts,bp_b_l_m_has_p_ucounts,bp_b_l_m_has_u_ucounts,bp_bnd_repeat_buyer_counts,bp_bnd_repeat_buyer_ratio,bp_b_purchased_counts_bias,bp_b_purchased_counts_bias_divide_std,bp_b_purchased_counts_bias_divide_mean,bp_b_purchased_sum__bias,bp_b_purchased_sum__bias_divide_std,bp_b_purchased_sum__bias_divide_mean,bp_b_purchased_day_ucounts_bias,bp_b_purchased_day_ucounts_bias_divide_std,bp_b_purchased_day_ucounts_bias_divide_mean,bp_b_has_u_ucounts_bias,bp_b_has_u_ucounts_bias_divide_std,bp_b_has_u_ucounts_bias_divide_mean
14591.0,3,16.3,2,0.0,1.0,2.0,0.0,0.1,0.0,8.9,7.4,0.0,-0.15,0.0,1.0,1.0,0.0,0.0,3,0.0,1.0,2.0,0.0,0.1,2,0.0,1.0,1.0,0.0,0.0,0.75,0.9574271077563381,2.0,0.5,4.075,4.745085176615203,8.9,3.7,0.5,0.5773502691896257,1.0,0.5,0.75,0.9574271077563381,2.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.5,0.7071067811865476,2.0,1.5,8.15,1.0606601717798212,8.9,8.15,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-5.433333333333334,-1.140306334578941,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
14592.0,1,98.0,1,1.0,0.0,0.0,0.0,-0.3,98.0,0.0,0.0,0.0,-29.4,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,24.5,49.0,98.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,98.0,0.0,98.0,98.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-32.666666666666664,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14601.0,2,19.8,2,2.0,0.0,0.0,0.0,-0.6,19.8,0.0,0.0,0.0,-5.94,2.0,0.0,0.0,0.0,-0.6,1,1.0,0.0,0.0,0.0,-0.3,2,2.0,0.0,0.0,0.0,-0.6,0.5,1.0,2.0,0.0,4.95,9.9,19.8,0.0,0.5,1.0,2.0,0.0,0.25,0.5,1.0,0.0,0.5,1.0,2.0,0.0,1.0,0.0,1.0,1.0,9.9,0.0,9.9,9.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-6.6000000000000005,-0.5773502691896258,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0
14612.0,2,25.8,2,0.0,0.0,1.0,1.0,0.4,0.0,0.0,6.0,19.8,6.540000000000001,0.0,0.0,1.0,1.0,0.4,2,0.0,0.0,1.0,1.0,0.4,2,0.0,0.0,1.0,1.0,0.4,0.5,0.5773502691896257,1.0,0.5,6.45,9.338629449764028,19.8,3.0,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,12.9,9.758073580374356,19.8,12.9,1.0,0.0,1.0,1.0,1.0,19.8,1.0,1.0,1.0,1.0,19.8,1.0,1.0,1.0,0.0,0.0,0.6666666666666667,1.1547005383792515,2.0000000000000004,17.8,5.13841739578767,8.9,0.6666666666666667,1.1547005383792515,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004
14615.0,6,48.46000000000001,5,3.0,1.0,1.0,1.0,-0.6,20.48,12.0,7.99,7.99,-4.148000000000001,2.0,1.0,1.0,1.0,-0.3,5,3.0,1.0,1.0,1.0,-0.6,5,2.0,1.0,1.0,1.0,-0.3,1.5,1.0,3.0,1.0,12.115000000000002,5.888341588823348,20.48,9.995000000000001,1.25,0.5,2.0,1.0,1.5,1.0,3.0,1.0,1.25,0.5,2.0,1.0,1.2,0.447213595499958,2.0,1.0,9.692,4.405005107829048,15.98,7.99,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.99,1.0,1.0,1.0,0.0,0.0,-0.6666666666666667,-0.5773502691896257,-0.4,-5.500000000000002,-0.8624854298662363,-0.40770941438102304,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994
14618.0,1,6.5,1,1.0,0.0,0.0,0.0,-0.3,6.5,0.0,0.0,0.0,-1.95,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,1.625,3.25,6.5,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,6.5,0.0,6.5,6.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-2.1666666666666665,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14622.0,103,2158.2999999999993,57,29.0,21.0,27.0,26.0,-0.3,710.5999999999999,426.80000000000007,542.1,478.8,-58.00999999999997,14.0,15.0,13.0,15.0,0.1,82,26.0,20.0,25.0,24.0,-0.1,56,21.0,17.0,19.0,17.0,-1.0,25.75,3.4034296427770228,29.0,26.5,539.575,123.3798031824225,710.5999999999999,510.45000000000005,14.25,0.9574271077563381,15.0,14.5,23.75,2.6299556396765835,26.0,24.5,18.5,1.9148542155126762,21.0,18.0,1.8392857142857142,1.6817392048848576,12.0,1.0,38.541071428571435,42.501729491166124,235.00000000000006,25.4,1.4107142857142858,0.8692062358954178,6.0,1.0,10.0,166.50000000000003,5.0,9.0,6.0,26.0,478.8,15.0,24.0,17.0,16.0,0.2857142857142857,0.33333333333333215,0.08006407690254329,0.012987012987012941,-81.03333333333336,-0.5677440491568512,-0.14474545995832097,1.0,1.0,0.07142857142857142,-2.0,-1.0,-0.10526315789473684
14623.0,1,26.8,1,0.0,1.0,0.0,0.0,-0.1,0.0,26.8,0.0,0.0,-2.68,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,6.7,13.4,26.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,26.8,0.0,26.8,26.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-8.933333333333334,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14626.0,5,42.4,3,3.0,2.0,0.0,0.0,-1.1,20.700000000000003,21.700000000000003,0.0,0.0,-8.38,1.0,2.0,0.0,0.0,-0.5,2,1.0,2.0,0.0,0.0,-0.5,2,1.0,2.0,0.0,0.0,-0.5,1.25,1.5,3.0,1.0,10.600000000000001,12.246632190116598,21.700000000000003,10.350000000000001,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,2.5,2.1213203435596424,4.0,2.5,21.200000000000003,9.05096679918781,27.6,21.200000000000003,1.5,0.7071067811865476,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-1.6666666666666667,-1.0910894511799618,-1.0,-14.133333333333335,-1.1537382931092839,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14627.0,4,26.32,4,2.0,1.0,0.0,1.0,-0.4,9.0,4.5,0.0,12.82,0.696,2.0,1.0,0.0,1.0,-0.4,3,2.0,1.0,0.0,1.0,-0.4,4,2.0,1.0,0.0,1.0,-0.4,1.0,0.816496580927726,2.0,1.0,6.58,5.550279272252883,12.82,6.75,1.0,0.816496580927726,2.0,1.0,1.0,0.816496580927726,2.0,1.0,1.0,0.816496580927726,2.0,1.0,1.0,0.0,1.0,1.0,6.58,4.16,12.82,4.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.82,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.32,1.848888888888889,1.848888888888889,0.0,0.0,0.0,0.0,0.0,0.0
