pluno,pp_p_purchased_counts,pp_p_purchased_sum,pp_p_purchased_day_ucounts,pp_first_p_purchased_counts,pp_second_p_purchased_counts,pp_fourth_p_purchased_counts,pp_fifth_p_purchased_counts,pp_trend_p_purchased_counts_df,pp_first_p_purchased_sum,pp_second_p_purchased_sum,pp_fourth_p_purchased_sum,pp_fifth_p_purchased_sum,pp_trend_p_purchased_sum_df,pp_first_p_purchased_day_ucounts,pp_second_p_purchased_day_ucounts,pp_fourth_p_purchased_day_ucounts,pp_fifth_p_purchased_day_ucounts,pp_trend_p_purchased_day_ucounts_df,pp_p_has_u_ucounts,pp_first_p_has_u_ucounts,pp_second_p_has_u_ucounts,pp_fourth_p_has_u_ucounts,pp_fifth_p_has_u_ucounts,pp_trend_p_has_u_ucounts_df,pp_monthly_p_purchased_counts_mean,pp_monthly_p_purchased_counts_std,pp_monthly_p_purchased_counts_max,pp_monthly_p_purchased_counts_median,pp_monthly_p_purchased_sum_mean,pp_monthly_p_purchased_sum_std,pp_monthly_p_purchased_sum_max,pp_monthly_p_purchased_sum_median,pp_monthly_p_purchased_day_ucounts_mean,pp_monthly_p_purchased_day_ucounts_std,pp_monthly_p_purchased_day_ucounts_max,pp_monthly_p_purchased_day_ucounts_median,pp_monthly_p_has_u_ucounts_mean,pp_monthly_p_has_u_ucounts_std,pp_monthly_p_has_u_ucounts_max,pp_monthly_p_has_u_ucounts_median,pp_plu_user_agg_counts_mean,pp_plu_user_agg_counts_std,pp_plu_user_agg_counts_max,pp_plu_user_agg_counts_median,pp_plu_user_agg_sum_mean,pp_plu_user_agg_sum_std,pp_plu_user_agg_sum_max,pp_plu_user_agg_sum_median,pp_plu_user_agg_day_ucounts_mean,pp_plu_user_agg_day_ucounts_std,pp_plu_user_agg_day_ucounts_max,pp_plu_user_agg_day_ucounts_median,pp_p_l_w_purchased_counts,pp_p_l_w_purchased_sum,pp_p_l_w_purchased_day_ucounts,pp_p_l_w_has_u_ucounts,pp_p_l_m_purchased_counts,pp_p_l_m_purchased_sum,pp_p_l_m_purchased_day_ucounts,pp_p_l_m_has_u_ucounts,pp_plu_repeat_buyer_counts,pp_plu_repeat_buyer_ratio,pp_p_purchased_counts_bias,pp_p_purchased_counts_bias_divide_std,pp_p_purchased_counts_bias_divide_mean,pp_p_purchased_sum_bias,pp_p_purchased_sum_bias_divide_std,pp_p_purchased_sum_bias_divide_mean,pp_p_purchased_day_ucounts_bias,pp_p_purchased_day_ucounts_bias_divide_std,pp_p_purchased_day_ucounts_bias_divide_mean,pp_p_has_u_ucounts_bias,pp_p_has_u_ucounts_bias_divide_std,pp_p_has_u_ucounts_bias_divide_mean
14594012,1,4.8,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,4.8,1.44,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,1.2,2.4,4.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,4.8,0.0,4.8,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14594013,5,29.5,3,0.0,1.0,4.0,0.0,0.3,0.0,5.9,23.6,0.0,1.7700000000000002,0.0,1.0,2.0,0.0,0.1,2,0.0,1.0,1.0,0.0,0.0,1.25,1.8929694486000912,4.0,0.5,7.375,11.16851974674054,23.6,2.95,0.75,0.9574271077563381,2.0,0.5,0.5,0.5773502691896257,1.0,0.5,2.5,2.1213203435596424,4.0,2.5,14.75,12.515790027001891,23.6,14.75,1.5,0.7071067811865476,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-1.6666666666666667,-0.8006407690254358,-1.0,-9.833333333333334,-0.8006407690254356,-1.0,-1.0,-1.0,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
14594014,2,9.6,2,0.0,1.0,0.0,1.0,0.2,0.0,4.8,0.0,4.8,0.9599999999999997,0.0,1.0,0.0,1.0,0.2,2,0.0,1.0,0.0,1.0,0.2,0.5,0.5773502691896257,1.0,0.5,2.4,2.7712812921102037,4.8,2.4,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,4.8,0.0,4.8,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.8,1.0,1.0,0.0,0.0,0.6666666666666667,1.1547005383792515,2.0000000000000004,3.2,1.1547005383792517,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004
14594017,2,9.6,2,1.0,1.0,0.0,0.0,-0.4,4.8,4.8,0.0,0.0,-1.92,1.0,1.0,0.0,0.0,-0.4,2,1.0,1.0,0.0,0.0,-0.4,0.5,0.5773502691896257,1.0,0.5,2.4,2.7712812921102037,4.8,2.4,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,4.8,0.0,4.8,4.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.1547005383792512,-1.0,-3.1999999999999997,-1.1547005383792515,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
14594019,1,4.99,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,4.99,1.497,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,1.2475,2.495,4.99,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,4.99,0.0,4.99,4.99,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.99,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.99,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14594028,1,27.5,1,0.0,1.0,0.0,0.0,-0.1,0.0,27.5,0.0,0.0,-2.75,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,6.875,13.75,27.5,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,27.5,0.0,27.5,27.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-9.166666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14596010,2,5.0,1,0.0,0.0,2.0,0.0,0.2,0.0,0.0,5.0,0.0,0.5,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.5,1.0,2.0,0.0,1.25,2.5,5.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,2.0,0.0,2.0,2.0,5.0,0.0,5.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-1.6666666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14596013,5,48.3,3,0.0,2.0,0.0,3.0,0.7,0.0,19.8,0.0,28.5,6.57,0.0,1.0,0.0,2.0,0.5,2,0.0,1.0,0.0,2.0,0.5,1.25,1.5,3.0,1.0,12.075,14.388276477743956,28.5,9.9,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,2.5,2.1213203435596424,4.0,2.5,24.15,20.71822868876584,38.8,24.15,1.5,0.7071067811865476,2.0,1.5,2.0,19.0,1.0,1.0,3.0,28.5,2.0,2.0,1.0,0.5,2.3333333333333335,2.02072594216369,3.5000000000000004,21.9,1.9157531659473945,3.318181818181818,1.6666666666666667,2.8867513459481287,5.000000000000001,1.6666666666666667,2.8867513459481287,5.000000000000001
14596015,5,48.7,3,0.0,0.0,3.0,2.0,0.9,0.0,0.0,29.700000000000003,19.0,8.67,0.0,0.0,2.0,1.0,0.5,3,0.0,0.0,2.0,1.0,0.5,1.25,1.5,3.0,1.0,12.175,14.721497885745187,29.700000000000003,9.5,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.6666666666666667,0.5773502691896257,2.0,2.0,16.23333333333333,5.49939390599849,19.8,19.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,19.0,1.0,1.0,0.0,0.0,1.0,0.5773502691896258,1.0,9.1,0.5306957019823831,0.9191919191919191,0.33333333333333337,0.28867513459481287,0.5000000000000001,0.33333333333333337,0.28867513459481287,0.5000000000000001
14596016,1,4.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,4.0,0.0,0.4,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,1.0,2.0,4.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14596018,2,13.8,2,1.0,0.0,1.0,0.0,-0.2,6.9,0.0,6.9,0.0,-1.3800000000000003,1.0,0.0,1.0,0.0,-0.2,2,1.0,0.0,1.0,0.0,-0.2,0.5,0.5773502691896257,1.0,0.5,3.45,3.9837168574084183,6.9,3.45,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,6.9,0.0,6.9,6.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-1.1547005383792512,-1.0,-4.6000000000000005,-1.1547005383792517,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
14600004,2,436.0,1,0.0,0.0,0.0,2.0,0.6,0.0,0.0,0.0,436.0,130.8,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.5,1.0,2.0,0.0,109.0,218.0,436.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,2.0,0.0,2.0,2.0,436.0,0.0,436.0,436.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,436.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,436.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14613004,1,656.0,1,1.0,0.0,0.0,0.0,-0.3,656.0,0.0,0.0,0.0,-196.8,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,164.0,328.0,656.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,656.0,0.0,656.0,656.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-218.66666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14617001,1,9.8,1,0.0,1.0,0.0,0.0,-0.1,0.0,9.8,0.0,0.0,-0.9800000000000001,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,2.45,4.9,9.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,9.8,0.0,9.8,9.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.266666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14620001,1,35.0,1,1.0,0.0,0.0,0.0,-0.3,35.0,0.0,0.0,0.0,-10.5,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,8.75,17.5,35.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,35.0,0.0,35.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-11.666666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14620005,1,32.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,32.0,0.0,3.2,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,8.0,16.0,32.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,32.0,0.0,32.0,32.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-10.666666666666666,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14630004,2,15.2,2,2.0,0.0,0.0,0.0,-0.6,15.2,0.0,0.0,0.0,-4.56,2.0,0.0,0.0,0.0,-0.6,2,2.0,0.0,0.0,0.0,-0.6,0.5,1.0,2.0,0.0,3.8,7.6,15.2,0.0,0.5,1.0,2.0,0.0,0.5,1.0,2.0,0.0,1.0,0.0,1.0,1.0,7.6,0.0,7.6,7.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-5.066666666666666,-0.5773502691896257,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0
