dptno,dp_d_purchased_counts,dp_d_purchased_sum,dp_d_purchased_day_ucounts,dp_first_d_purchased_counts,dp_second_d_purchased_counts,dp_fourth_d_purchased_counts,dp_fifth_d_purchased_counts,dp_trend_d_purchased_counts_df,dp_first_d_purchased_sum,dp_second_d_purchased_sum,dp_fourth_d_purchased_sum,dp_fifth_d_purchased_sum,dp_trend_d_purchased_sum_df,dp_first_d_purchased_day_ucounts,dp_second_d_purchased_day_ucounts,dp_fourth_d_purchased_day_ucounts,dp_fifth_d_purchased_day_ucounts,dp_trend_d_purchased_day_ucounts_df,dp_d_has_p_ucounts,dp_first_d_has_p_ucounts,dp_second_d_has_p_ucounts,dp_fourth_d_has_p_ucounts,dp_fifth_d_has_p_ucounts,dp_trend_d_has_p_ucounts_df,dp_d_has_u_ucounts,dp_first_d_has_u_ucounts,dp_second_d_has_u_ucounts,dp_fourth_d_has_u_ucounts,dp_fifth_d_has_u_ucounts,dp_trend_d_has_u_ucounts_df,dpt_monthly_d_purchased_counts_mean,dpt_monthly_d_purchased_counts_std,dpt_monthly_d_purchased_counts_max,dpt_monthly_d_purchased_counts_median,dpt_monthly_d_purchased_sum_mean,dpt_monthly_d_purchased_sum_std,dpt_monthly_d_purchased_sum_max,dpt_monthly_d_purchased_sum_median,dpt_monthly_d_purchased_day_ucounts_mean,dpt_monthly_d_purchased_day_ucounts_std,dpt_monthly_d_purchased_day_ucounts_max,dpt_monthly_d_purchased_day_ucounts_median,dp_monthly_d_has_p_ucounts_mean,dp_monthly_d_has_p_ucounts_std,dp_monthly_d_has_p_ucounts_max,dp_monthly_d_has_p_ucounts_median,dp_monthly_d_has_u_ucounts_mean,dp_monthly_d_has_u_ucounts_std,dp_monthly_d_has_u_ucounts_max,dp_monthly_d_has_u_ucounts_median,dp_dpt_user_agg_counts_mean,dp_dpt_user_agg_counts_std,dp_dpt_user_agg_counts_max,dp_dpt_user_agg_counts_median,dp_dpt_user_agg_sum_mean,dp_dpt_user_agg_sum_std,dp_dpt_user_agg_sum_max,dp_dpt_user_agg_sum_median,dp_dpt_user_agg_day_ucounts_mean,dp_dpt_user_agg_day_ucounts_std,dp_dpt_user_agg_day_ucounts_max,dp_dpt_user_agg_day_ucounts_median,dp_d_l_w_purchased_counts,dp_d_l_w_purchased_sum,dp_d_l_w_purchased_day_ucounts,dp_d_l_w_has_p_ucounts,dp_d_l_w_has_u_ucounts,dp_d_l_m_purchased_counts,dp_d_l_m_purchased_sum,dp_d_l_m_purchased_day_ucounts,dp_d_l_m_has_p_ucounts,dp_d_l_m_has_u_ucounts,dp_dpt_repeat_buyer_counts,dp_dpt_repeat_buyer_ratio,dp_d_purchased_counts_bias,dp_d_purchased_counts_bias_divide_std,dp_d_purchased_counts_bias_divide_mean,dp_d_purchased_sum__bias,dp_d_purchased_sum__bias_divide_std,dp_d_purchased_sum__bias_divide_mean,dp_d_purchased_day_ucounts_bias,dp_d_purchased_day_ucounts_bias_divide_std,dp_d_purchased_day_ucounts_bias_divide_mean,dp_d_has_u_ucounts_bias,dp_d_has_u_ucounts_bias_divide_std,dp_d_has_u_ucounts_bias_divide_mean
14366,1,229.0,1,1.0,0.0,0.0,0.0,-0.3,229.0,0.0,0.0,0.0,-68.7,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,57.25,114.5,229.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,229.0,0.0,229.0,229.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-76.33333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14401,17,370.04,9,15.0,1.0,0.0,1.0,-4.3,348.08,9.04,0.0,12.92,-101.452,7.0,1.0,0.0,1.0,-1.9,7,6.0,1.0,0.0,1.0,-1.6,13,11.0,1.0,0.0,1.0,-3.1,4.25,7.182153808805081,15.0,1.0,92.51,170.46596336708,348.08,10.98,2.25,3.2015621187164243,7.0,1.0,2.0,2.70801280154532,6.0,1.0,3.25,5.188127472091127,11.0,1.0,1.3076923076923077,0.8548504142651103,4.0,1.0,28.46461538461538,28.287676237596415,102.56,17.91,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.92,1.0,1.0,1.0,0.0,0.0,-4.333333333333333,-0.5167036117861566,-0.8125,-106.12,-0.534862987652652,-0.8914650537634409,-1.6666666666666665,-0.4402254531628118,-0.625,-3.0,-0.4931969619160719,-0.75
14402,4,69.67,4,0.0,1.0,1.0,2.0,0.6,0.0,25.34,15.45,28.88,7.675,0.0,1.0,1.0,2.0,0.6,2,0.0,1.0,1.0,2.0,0.6,4,0.0,1.0,1.0,2.0,0.6,1.0,0.816496580927726,2.0,1.0,17.4175,12.927944861165418,28.88,20.395,1.0,0.816496580927726,2.0,1.0,1.0,0.816496580927726,2.0,1.0,1.0,0.816496580927726,2.0,1.0,1.0,0.0,1.0,1.0,18.073333333333334,6.3265972950183365,25.34,15.09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,28.88,2.0,2.0,2.0,0.0,0.0,1.3333333333333335,2.309401076758503,2.0000000000000004,15.283333333333333,1.1966975547317948,1.1240500122579065,1.3333333333333335,2.309401076758503,2.0000000000000004,1.3333333333333335,2.309401076758503,2.0000000000000004
14403,15,198.34999999999997,13,1.0,3.0,3.0,8.0,2.1,20.72,29.549999999999997,37.69,110.39000000000001,27.715000000000003,1.0,2.0,3.0,7.0,1.9,6,1.0,2.0,2.0,3.0,0.6,13,1.0,2.0,3.0,7.0,1.9,3.75,2.9860788111948193,8.0,3.0,49.587500000000006,41.12310167857803,110.39000000000001,33.62,3.25,2.6299556396765835,7.0,2.5,2.0,0.816496580927726,3.0,2.0,3.25,2.6299556396765835,7.0,2.5,1.1666666666666667,0.38924947208076144,2.0,1.0,14.585833333333332,7.131751612374485,29.96,14.774999999999999,1.0,0.0,1.0,1.0,1.0,11.78,1.0,1.0,1.0,8.0,110.39000000000001,7.0,3.0,7.0,0.0,0.0,5.666666666666666,4.907477288111819,2.4285714285714284,81.07000000000002,9.551876402219627,2.765006821282402,5.0,5.0,2.5,5.0,5.0,2.5
14404,5,32.97,3,0.0,0.0,1.0,4.0,1.3,0.0,0.0,2.3,30.67,9.431000000000001,0.0,0.0,1.0,2.0,0.7,2,0.0,0.0,1.0,2.0,0.7,4,0.0,0.0,1.0,3.0,1.0,1.25,1.8929694486000912,4.0,0.5,8.2425,14.990926978231421,30.67,1.15,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.25,0.5,2.0,1.0,8.2425,9.053317531895882,21.7,4.484999999999999,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,30.67,2.0,2.0,3.0,0.0,0.0,3.6666666666666665,6.350852961085883,11.0,29.903333333333336,22.519170716957102,39.00434782608696,1.6666666666666667,2.8867513459481287,5.000000000000001,2.6666666666666665,4.618802153517005,8.0
14405,7,83.37,4,0.0,6.0,1.0,0.0,-0.5,0.0,63.21,20.16,0.0,-4.305,0.0,3.0,1.0,0.0,-0.2,7,0.0,6.0,1.0,0.0,-0.5,4,0.0,3.0,1.0,0.0,-0.2,1.75,2.8722813232690143,6.0,0.5,20.8425,29.800953424345337,63.21,10.08,1.0,1.4142135623730951,3.0,0.5,1.75,2.8722813232690143,6.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.75,0.9574271077563381,3.0,1.5,20.8425,11.659006175485114,33.46,22.22,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3333333333333335,-0.7258661863112977,-1.0,-27.790000000000003,-0.8606814722875674,-1.0,-1.3333333333333333,-0.8728715609439696,-1.0,-1.3333333333333333,-0.8728715609439696,-1.0
14406,3,35.13,2,0.0,1.0,2.0,0.0,0.1,0.0,9.72,25.41,0.0,1.5689999999999997,0.0,1.0,1.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,2,0.0,1.0,1.0,0.0,0.0,0.75,0.9574271077563381,2.0,0.5,8.7825,11.99468319715031,25.41,4.86,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.5,0.7071067811865476,2.0,1.5,17.565,11.094505396816931,25.41,17.565,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-11.71,-0.9133201263390339,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
14407,8,119.85999999999999,8,0.0,2.0,1.0,5.0,1.4,0.0,37.16,26.18,56.52,15.858,0.0,2.0,1.0,5.0,1.4,6,0.0,2.0,1.0,3.0,0.8,6,0.0,2.0,1.0,5.0,1.4,2.0,2.160246899469287,5.0,1.5,29.965,23.587874709971928,56.52,31.669999999999998,2.0,2.160246899469287,5.0,1.5,1.5,1.2909944487358056,3.0,1.5,2.0,2.160246899469287,5.0,1.5,1.3333333333333333,0.816496580927726,3.0,1.0,19.976666666666667,24.75590973215621,69.07,11.33,1.3333333333333333,0.816496580927726,3.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,56.52,5.0,3.0,5.0,1.0,0.16666666666666666,4.0,4.0,4.0,35.406666666666666,1.8546173053587431,1.676981370382065,4.0,4.0,4.0,4.0,4.0,4.0
14409,5,45.71,4,0.0,0.0,1.0,4.0,1.3,0.0,0.0,14.48,31.23,10.817000000000002,0.0,0.0,1.0,3.0,1.0,4,0.0,0.0,1.0,3.0,1.0,4,0.0,0.0,1.0,3.0,1.0,1.25,1.8929694486000912,4.0,0.5,11.4275,14.86194553213004,31.23,7.24,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.25,0.5,2.0,1.0,11.427500000000002,3.012876532485193,14.48,11.625,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,31.23,3.0,3.0,3.0,0.0,0.0,3.6666666666666665,6.350852961085883,11.0,26.403333333333332,3.1582814103943546,5.470303867403314,2.6666666666666665,4.618802153517005,8.0,2.6666666666666665,4.618802153517005,8.0
14503,1,17.8,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,17.8,5.340000000000001,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,4.45,8.9,17.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,17.8,0.0,17.8,17.8,1.0,0.0,1.0,1.0,1.0,17.8,1.0,1.0,1.0,1.0,17.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
