dptno,dp_d_purchased_counts,dp_d_purchased_sum,dp_d_purchased_day_ucounts,dp_first_d_purchased_counts,dp_second_d_purchased_counts,dp_fourth_d_purchased_counts,dp_fifth_d_purchased_counts,dp_trend_d_purchased_counts_df,dp_first_d_purchased_sum,dp_second_d_purchased_sum,dp_fourth_d_purchased_sum,dp_fifth_d_purchased_sum,dp_trend_d_purchased_sum_df,dp_first_d_purchased_day_ucounts,dp_second_d_purchased_day_ucounts,dp_fourth_d_purchased_day_ucounts,dp_fifth_d_purchased_day_ucounts,dp_trend_d_purchased_day_ucounts_df,dp_d_has_p_ucounts,dp_first_d_has_p_ucounts,dp_second_d_has_p_ucounts,dp_fourth_d_has_p_ucounts,dp_fifth_d_has_p_ucounts,dp_trend_d_has_p_ucounts_df,dp_d_has_u_ucounts,dp_first_d_has_u_ucounts,dp_second_d_has_u_ucounts,dp_fourth_d_has_u_ucounts,dp_fifth_d_has_u_ucounts,dp_trend_d_has_u_ucounts_df,dpt_monthly_d_purchased_counts_mean,dpt_monthly_d_purchased_counts_std,dpt_monthly_d_purchased_counts_max,dpt_monthly_d_purchased_counts_median,dpt_monthly_d_purchased_sum_mean,dpt_monthly_d_purchased_sum_std,dpt_monthly_d_purchased_sum_max,dpt_monthly_d_purchased_sum_median,dpt_monthly_d_purchased_day_ucounts_mean,dpt_monthly_d_purchased_day_ucounts_std,dpt_monthly_d_purchased_day_ucounts_max,dpt_monthly_d_purchased_day_ucounts_median,dp_monthly_d_has_p_ucounts_mean,dp_monthly_d_has_p_ucounts_std,dp_monthly_d_has_p_ucounts_max,dp_monthly_d_has_p_ucounts_median,dp_monthly_d_has_u_ucounts_mean,dp_monthly_d_has_u_ucounts_std,dp_monthly_d_has_u_ucounts_max,dp_monthly_d_has_u_ucounts_median,dp_dpt_user_agg_counts_mean,dp_dpt_user_agg_counts_std,dp_dpt_user_agg_counts_max,dp_dpt_user_agg_counts_median,dp_dpt_user_agg_sum_mean,dp_dpt_user_agg_sum_std,dp_dpt_user_agg_sum_max,dp_dpt_user_agg_sum_median,dp_dpt_user_agg_day_ucounts_mean,dp_dpt_user_agg_day_ucounts_std,dp_dpt_user_agg_day_ucounts_max,dp_dpt_user_agg_day_ucounts_median,dp_d_l_w_purchased_counts,dp_d_l_w_purchased_sum,dp_d_l_w_purchased_day_ucounts,dp_d_l_w_has_p_ucounts,dp_d_l_w_has_u_ucounts,dp_d_l_m_purchased_counts,dp_d_l_m_purchased_sum,dp_d_l_m_purchased_day_ucounts,dp_d_l_m_has_p_ucounts,dp_d_l_m_has_u_ucounts,dp_dpt_repeat_buyer_counts,dp_dpt_repeat_buyer_ratio,dp_d_purchased_counts_bias,dp_d_purchased_counts_bias_divide_std,dp_d_purchased_counts_bias_divide_mean,dp_d_purchased_sum__bias,dp_d_purchased_sum__bias_divide_std,dp_d_purchased_sum__bias_divide_mean,dp_d_purchased_day_ucounts_bias,dp_d_purchased_day_ucounts_bias_divide_std,dp_d_purchased_day_ucounts_bias_divide_mean,dp_d_has_u_ucounts_bias,dp_d_has_u_ucounts_bias_divide_std,dp_d_has_u_ucounts_bias_divide_mean
30534,1,8.9,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,8.9,2.6700000000000004,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,2.225,4.45,8.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,8.9,0.0,8.9,8.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30541,5,52.099999999999994,4,2.0,3.0,0.0,0.0,-0.9,16.4,35.7,0.0,0.0,-8.49,1.0,3.0,0.0,0.0,-0.6,4,1.0,3.0,0.0,0.0,-0.6,4,1.0,3.0,0.0,0.0,-0.6,1.25,1.5,3.0,1.0,13.025,16.978883944476447,35.7,8.2,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.0,1.4142135623730951,3.0,0.5,1.25,0.5,2.0,1.0,13.024999999999999,3.119161212035483,16.4,13.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6666666666666667,-1.0910894511799618,-1.0,-17.366666666666667,-0.9718542574150749,-1.0,-1.3333333333333333,-0.8728715609439694,-1.0,-1.3333333333333333,-0.8728715609439694,-1.0
30551,1,44.9,1,1.0,0.0,0.0,0.0,-0.3,44.9,0.0,0.0,0.0,-13.469999999999999,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,11.225,22.449999999999996,44.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,44.9,0.0,44.9,44.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-14.966666666666667,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30553,2,59.8,1,2.0,0.0,0.0,0.0,-0.6,59.8,0.0,0.0,0.0,-17.939999999999998,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.5,1.0,2.0,0.0,14.95,29.9,59.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,2.0,0.0,2.0,2.0,59.8,0.0,59.8,59.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-19.933333333333334,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30600,2,42.8,2,0.0,0.0,1.0,1.0,0.4,0.0,0.0,25.9,16.9,7.659999999999999,0.0,0.0,1.0,1.0,0.4,2,0.0,0.0,1.0,1.0,0.4,2,0.0,0.0,1.0,1.0,0.4,0.5,0.5773502691896257,1.0,0.5,10.7,12.890047840614608,25.9,8.45,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,21.4,6.363961030678928,25.9,21.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.9,1.0,1.0,1.0,0.0,0.0,0.6666666666666667,1.1547005383792515,2.0000000000000004,8.266666666666666,0.5528296013862054,0.9575289575289575,0.6666666666666667,1.1547005383792515,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004
30602,1,79.9,1,1.0,0.0,0.0,0.0,-0.3,79.9,0.0,0.0,0.0,-23.970000000000002,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,19.975,39.95,79.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,79.9,0.0,79.9,79.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-26.633333333333336,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30604,1,29.9,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,29.9,0.0,2.9899999999999998,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,7.475,14.95,29.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,29.9,0.0,29.9,29.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-9.966666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30611,1,129.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,129.0,0.0,12.9,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,32.25,64.5,129.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,129.0,0.0,129.0,129.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-43.0,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30612,1,35.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,35.0,0.0,3.5,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,8.75,17.5,35.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,35.0,0.0,35.0,35.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-11.666666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30634,6,36.5,6,1.0,3.0,2.0,0.0,-0.4,3.9,20.8,11.8,0.0,-2.0700000000000003,1.0,3.0,2.0,0.0,-0.4,4,1.0,3.0,1.0,0.0,-0.5,5,1.0,3.0,2.0,0.0,-0.4,1.5,1.2909944487358056,3.0,1.5,9.125,9.20194725769135,20.8,7.8500000000000005,1.5,1.2909944487358056,3.0,1.5,1.25,1.2583057392117916,3.0,1.0,1.5,1.2909944487358056,3.0,1.5,1.2,0.447213595499958,2.0,1.0,7.3,3.3845236001540897,11.8,5.9,1.2,0.447213595499958,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,-2.0,-2.0,-1.0,-12.166666666666666,-1.4388266248821586,-1.0,-2.0,-2.0,-1.0,-2.0,-2.0,-1.0
30643,2,7.8,1,0.0,0.0,0.0,2.0,0.6,0.0,0.0,0.0,7.8,2.34,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.5,1.0,2.0,0.0,1.95,3.9,7.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,2.0,0.0,2.0,2.0,7.8,0.0,7.8,7.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.8,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,7.8,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30701,6,89.4,4,2.0,2.0,1.0,1.0,-0.4,33.8,21.8,16.9,16.9,-5.56,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.0,4,1.0,2.0,1.0,1.0,-0.1,1.5,0.5773502691896257,2.0,1.5,22.35,7.97516979965526,33.8,19.35,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.25,0.5,2.0,1.0,1.5,1.0,3.0,1.0,22.349999999999998,19.110468335443795,50.699999999999996,13.899999999999999,1.25,0.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.9,1.0,1.0,1.0,1.0,0.25,-0.6666666666666667,-1.1547005383792517,-0.4,-7.266666666666669,-0.835727642186979,-0.30068965517241386,0.0,0.0,0.0,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994
30707,1,12.9,1,0.0,1.0,0.0,0.0,-0.1,0.0,12.9,0.0,0.0,-1.29,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,1,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,3.225,6.450000000000001,12.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,12.9,0.0,12.9,12.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-4.3,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30710,7,45.0,5,1.0,1.0,3.0,2.0,0.5,7.0,4.9,18.3,14.8,3.6800000000000006,1.0,1.0,2.0,1.0,0.1,7,1.0,1.0,3.0,2.0,0.5,5,1.0,1.0,2.0,1.0,0.1,1.75,0.9574271077563381,3.0,1.5,11.25,6.342712353559793,18.3,10.9,1.25,0.5,2.0,1.0,1.75,0.9574271077563381,3.0,1.5,1.25,0.5,2.0,1.0,1.4,0.5477225575051661,2.0,1.0,9.0,4.019328302092279,14.8,7.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.8,1.0,2.0,1.0,0.0,0.0,0.33333333333333326,0.28867513459481275,0.19999999999999996,4.7333333333333325,0.6567531760249916,0.4701986754966886,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994
30723,1,4.9,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,4.9,0.0,0.49000000000000005,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,1,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,1.225,2.45,4.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,4.9,0.0,4.9,4.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.6333333333333335,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
30728,1,21.9,1,1.0,0.0,0.0,0.0,-0.3,21.9,0.0,0.0,0.0,-6.5699999999999985,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,5.475,10.949999999999998,21.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,21.9,0.0,21.9,21.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-7.3,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
