pluno,pp_p_purchased_counts,pp_p_purchased_sum,pp_p_purchased_day_ucounts,pp_first_p_purchased_counts,pp_second_p_purchased_counts,pp_fourth_p_purchased_counts,pp_fifth_p_purchased_counts,pp_trend_p_purchased_counts_df,pp_first_p_purchased_sum,pp_second_p_purchased_sum,pp_fourth_p_purchased_sum,pp_fifth_p_purchased_sum,pp_trend_p_purchased_sum_df,pp_first_p_purchased_day_ucounts,pp_second_p_purchased_day_ucounts,pp_fourth_p_purchased_day_ucounts,pp_fifth_p_purchased_day_ucounts,pp_trend_p_purchased_day_ucounts_df,pp_p_has_u_ucounts,pp_first_p_has_u_ucounts,pp_second_p_has_u_ucounts,pp_fourth_p_has_u_ucounts,pp_fifth_p_has_u_ucounts,pp_trend_p_has_u_ucounts_df,pp_monthly_p_purchased_counts_mean,pp_monthly_p_purchased_counts_std,pp_monthly_p_purchased_counts_max,pp_monthly_p_purchased_counts_median,pp_monthly_p_purchased_sum_mean,pp_monthly_p_purchased_sum_std,pp_monthly_p_purchased_sum_max,pp_monthly_p_purchased_sum_median,pp_monthly_p_purchased_day_ucounts_mean,pp_monthly_p_purchased_day_ucounts_std,pp_monthly_p_purchased_day_ucounts_max,pp_monthly_p_purchased_day_ucounts_median,pp_monthly_p_has_u_ucounts_mean,pp_monthly_p_has_u_ucounts_std,pp_monthly_p_has_u_ucounts_max,pp_monthly_p_has_u_ucounts_median,pp_plu_user_agg_counts_mean,pp_plu_user_agg_counts_std,pp_plu_user_agg_counts_max,pp_plu_user_agg_counts_median,pp_plu_user_agg_sum_mean,pp_plu_user_agg_sum_std,pp_plu_user_agg_sum_max,pp_plu_user_agg_sum_median,pp_plu_user_agg_day_ucounts_mean,pp_plu_user_agg_day_ucounts_std,pp_plu_user_agg_day_ucounts_max,pp_plu_user_agg_day_ucounts_median,pp_p_l_w_purchased_counts,pp_p_l_w_purchased_sum,pp_p_l_w_purchased_day_ucounts,pp_p_l_w_has_u_ucounts,pp_p_l_m_purchased_counts,pp_p_l_m_purchased_sum,pp_p_l_m_purchased_day_ucounts,pp_p_l_m_has_u_ucounts,pp_plu_repeat_buyer_counts,pp_plu_repeat_buyer_ratio,pp_p_purchased_counts_bias,pp_p_purchased_counts_bias_divide_std,pp_p_purchased_counts_bias_divide_mean,pp_p_purchased_sum_bias,pp_p_purchased_sum_bias_divide_std,pp_p_purchased_sum_bias_divide_mean,pp_p_purchased_day_ucounts_bias,pp_p_purchased_day_ucounts_bias_divide_std,pp_p_purchased_day_ucounts_bias_divide_mean,pp_p_has_u_ucounts_bias,pp_p_has_u_ucounts_bias_divide_std,pp_p_has_u_ucounts_bias_divide_mean
14054075,2,17.0,2,0.0,0.0,1.0,1.0,0.4,0.0,0.0,8.5,8.5,3.4,0.0,0.0,1.0,1.0,0.4,2,0.0,0.0,1.0,1.0,0.4,0.5,0.5773502691896257,1.0,0.5,4.25,4.907477288111819,8.5,4.25,0.5,0.5773502691896257,1.0,0.5,0.5,0.5773502691896257,1.0,0.5,1.0,0.0,1.0,1.0,8.5,0.0,8.5,8.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.5,1.0,1.0,0.0,0.0,0.6666666666666667,1.1547005383792515,2.0000000000000004,5.666666666666666,1.1547005383792515,1.9999999999999998,0.6666666666666667,1.1547005383792515,2.0000000000000004,0.6666666666666667,1.1547005383792515,2.0000000000000004
14060002,8,62.099999999999994,5,1.0,1.0,3.0,3.0,0.8,6.8,7.9,23.700000000000003,23.700000000000003,6.650000000000001,1.0,1.0,1.0,2.0,0.3,3,1.0,1.0,2.0,1.0,0.1,2.0,1.1547005383792515,3.0,2.0,15.525000000000002,9.450352727103189,23.700000000000003,15.8,1.25,0.5,2.0,1.0,1.25,0.5,2.0,1.0,2.6666666666666665,2.886751345948129,6.0,1.0,20.7,23.129418496797538,47.4,7.9,2.0,1.7320508075688772,4.0,1.0,0.0,0.0,0.0,0.0,3.0,23.700000000000003,2.0,1.0,1.0,0.3333333333333333,1.3333333333333333,1.1547005383792512,0.7999999999999999,10.9,1.152745539738538,0.8515624999999999,1.0,0.0,1.0,-0.33333333333333326,-0.5773502691896256,-0.24999999999999994
14060003,1,9.9,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,9.9,2.97,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,2.475,4.95,9.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,9.9,0.0,9.9,9.9,1.0,0.0,1.0,1.0,1.0,9.9,1.0,1.0,1.0,9.9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,9.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14060006,3,31.200000000000003,3,0.0,1.0,2.0,0.0,0.1,0.0,11.4,19.8,0.0,0.8400000000000002,0.0,1.0,2.0,0.0,0.1,2,0.0,1.0,2.0,0.0,0.1,0.75,0.9574271077563381,2.0,0.5,7.800000000000001,9.637427042525406,19.8,5.7,0.75,0.9574271077563381,2.0,0.5,0.75,0.9574271077563381,2.0,0.5,1.5,0.7071067811865476,2.0,1.5,15.600000000000001,8.061017305526642,21.3,15.600000000000001,1.5,0.7071067811865476,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,-1.0,-1.0,-1.0,-10.4,-1.0465085928519269,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
14060008,1,9.2,1,1.0,0.0,0.0,0.0,-0.3,9.2,0.0,0.0,0.0,-2.76,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.3,4.6,9.2,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,9.2,0.0,9.2,9.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.0666666666666664,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14061002,1,14.8,1,1.0,0.0,0.0,0.0,-0.3,14.8,0.0,0.0,0.0,-4.44,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,3.7,7.400000000000001,14.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,14.8,0.0,14.8,14.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-4.933333333333334,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14061005,1,21.9,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,21.9,6.5699999999999985,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,5.475,10.95,21.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,21.9,0.0,21.9,21.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,21.9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,21.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14061006,1,10.8,1,1.0,0.0,0.0,0.0,-0.3,10.8,0.0,0.0,0.0,-3.2400000000000007,1.0,0.0,0.0,0.0,-0.3,1,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.7,5.400000000000001,10.8,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,10.8,0.0,10.8,10.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.6,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
14063000,1,7.9,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,7.9,2.37,0.0,0.0,0.0,1.0,0.3,1,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,1.975,3.9500000000000006,7.9,0.0,0.25,0.5,1.0,0.0,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,7.9,0.0,7.9,7.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,7.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14063003,4,36.580000000000005,4,0.0,0.0,0.0,4.0,1.2,0.0,0.0,0.0,36.580000000000005,10.974,0.0,0.0,0.0,4.0,1.2,4,0.0,0.0,0.0,4.0,1.2,1.0,2.0,4.0,0.0,9.145000000000001,18.29,36.580000000000005,0.0,1.0,2.0,4.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,9.145,0.8594765849050225,9.8,9.395,1.0,0.0,1.0,1.0,1.0,8.99,1.0,1.0,4.0,36.580000000000005,4.0,4.0,0.0,0.0,4.0,0.0,0.0,36.580000000000005,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0
