vipno,pluno,upp_up_counts,upp_up_sum,upp_up_day_ucounts,upp_first_up_counts,upp_second_up_counts,upp_fourth_up_counts,upp_fifth_up_counts,upp_trend_up_counts,upp_first_up_sum,upp_second_up_sum,upp_fourth_up_sum,upp_fifth_up_sum,upp_trend_up_sum,upp_first_up_day_ucounts,upp_second_up_day_ucounts,upp_fourth_up_day_ucounts,upp_fifth_up_day_ucounts,upp_trend_up_day_ucounts,upp_monthly_up_counts_mean,upp_monthly_up_counts_std,upp_monthly_up_counts_max,upp_monthly_up_counts_median,upp_monthly_up_sum_mean,upp_monthly_up_sum_std,upp_monthly_up_sum_max,upp_monthly_up_sum_median,upp_monthly_up_day_ucounts_mean,upp_monthly_up_day_ucounts_std,upp_monthly_up_day_ucounts_max,upp_monthly_up_day_ucounts_median,upp_up_l_w_counts,upp_up_l_w_sum,upp_up_l_w_day_ucounts,upp_up_l_m_counts,upp_up_l_m_sum,upp_up_l_m_day_ucounts,upp_up_counts_bias,upp_up_counts_bias_divide_std,upp_up_counts_bias_divide_mean,upp_up_sum_bias,upp_up_sum_bias_divide_std,upp_up_sum_bias_divide_mean,upp_up_day_ucounts_bias,upp_up_day_ucounts_bias_divide_std,upp_up_day_ucounts_bias_divide_mean
781924,10113009,1,6.8,1,0.0,1.0,0.0,0.0,-0.1,0.0,6.8,0.0,0.0,-0.6799999999999999,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,1.7,3.4,6.8,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-2.2666666666666666,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,10130009,1,5.5,1,1.0,0.0,0.0,0.0,-0.3,5.5,0.0,0.0,0.0,-1.65,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,1.375,2.75,5.5,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.8333333333333333,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,11302032,1,10.8,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,10.8,3.2400000000000007,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,2.7,5.400000000000001,10.8,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,10.8,1.0,1.0,0.0,0.0,10.8,0.0,0.0,1.0,0.0,0.0
781924,11531020,1,15.6,1,1.0,0.0,0.0,0.0,-0.3,15.6,0.0,0.0,0.0,-4.68,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,3.9,7.8,15.6,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-5.2,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,11532011,1,9.9,1,1.0,0.0,0.0,0.0,-0.3,9.9,0.0,0.0,0.0,-2.97,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.475,4.95,9.9,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.3000000000000003,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,11532036,1,3.5,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,3.5,0.0,0.35,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,0.875,1.75,3.5,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.1666666666666667,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,11533012,3,32.400000000000006,2,1.0,2.0,0.0,0.0,-0.5,10.8,21.6,0.0,0.0,-5.4,1.0,1.0,0.0,0.0,-0.4,0.75,0.9574271077563381,2.0,0.5,8.100000000000001,10.340212763768452,21.6,5.4,0.5,0.5773502691896257,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-10.800000000000002,-1.0000000000000002,-1.0,-0.6666666666666666,-1.1547005383792512,-1.0
781924,14014034,1,10.9,1,1.0,0.0,0.0,0.0,-0.3,10.9,0.0,0.0,0.0,-3.2700000000000005,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,2.725,5.45,10.9,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-3.6333333333333333,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,14050019,1,5.9,1,1.0,0.0,0.0,0.0,-0.3,5.9,0.0,0.0,0.0,-1.7700000000000002,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,1.475,2.95,5.9,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.9666666666666668,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,14082002,1,3.9,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,3.9,1.17,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,0.975,1.95,3.9,0.0,0.25,0.5,1.0,0.0,1.0,3.9,1.0,1.0,3.9,1.0,1.0,0.0,0.0,3.9,0.0,0.0,1.0,0.0,0.0
781924,14101028,1,4.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,4.0,1.2,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,1.0,2.0,4.0,0.0,0.25,0.5,1.0,0.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0
781924,14402009,1,15.45,1,1.0,0.0,0.0,0.0,-0.3,15.45,0.0,0.0,0.0,-4.635,1.0,0.0,0.0,0.0,-0.3,0.25,0.5,1.0,0.0,3.8625,7.724999999999999,15.45,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-5.1499999999999995,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,14403083,1,23.32,1,0.0,1.0,0.0,0.0,-0.1,0.0,23.32,0.0,0.0,-2.332,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,5.83,11.660000000000002,23.32,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-7.773333333333333,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,15113000,1,16.8,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,16.8,0.0,1.6800000000000002,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,4.2,8.4,16.8,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-5.6000000000000005,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,15120000,1,15.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,15.0,4.5,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,3.75,7.5,15.0,0.0,0.25,0.5,1.0,0.0,1.0,15.0,1.0,1.0,15.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0
781924,15200001,1,13.8,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,13.8,4.140000000000001,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,3.45,6.900000000000001,13.8,0.0,0.25,0.5,1.0,0.0,1.0,13.8,1.0,1.0,13.8,1.0,1.0,0.0,0.0,13.8,0.0,0.0,1.0,0.0,0.0
781924,15200007,3,101.2,3,1.0,1.0,1.0,0.0,-0.3,27.6,36.8,36.8,0.0,-8.280000000000001,1.0,1.0,1.0,0.0,-0.3,0.75,0.5,1.0,1.0,25.3,17.415318927120836,36.8,32.2,0.75,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-33.733333333333334,-6.350852961085886,-1.0,-1.0,0.0,-1.0
781924,15202012,1,4.9,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,4.9,0.0,0.49000000000000005,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,1.225,2.45,4.9,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.6333333333333335,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
781924,23113024,1,18.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,18.0,5.4,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,4.5,9.0,18.0,0.0,0.25,0.5,1.0,0.0,1.0,18.0,1.0,1.0,18.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0
781924,34023002,1,15.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,15.0,4.5,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,3.75,7.5,15.0,0.0,0.25,0.5,1.0,0.0,1.0,15.0,1.0,1.0,15.0,1.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0
13325038116,10150038,1,4.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,4.0,0.0,0.4,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,1.0,2.0,4.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.3333333333333333,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,10201017,2,2.0,1,0.0,0.0,2.0,0.0,0.2,0.0,0.0,2.0,0.0,0.2,0.0,0.0,1.0,0.0,0.1,0.5,1.0,2.0,0.0,0.5,1.0,2.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,10300021,1,60.0,1,0.0,1.0,0.0,0.0,-0.1,0.0,60.0,0.0,0.0,-6.0,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,15.0,30.0,60.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-20.0,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,10300042,1,96.0,1,0.0,1.0,0.0,0.0,-0.1,0.0,96.0,0.0,0.0,-9.6,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,24.0,48.0,96.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-32.0,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,10450048,1,1110.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,1110.0,333.0,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,277.5,555.0,1110.0,0.0,0.25,0.5,1.0,0.0,1.0,1110.0,1.0,1.0,1110.0,1.0,1.0,0.0,0.0,1110.0,0.0,0.0,1.0,0.0,0.0
13325038116,14815007,1,5.6,1,0.0,1.0,0.0,0.0,-0.1,0.0,5.6,0.0,0.0,-0.5599999999999999,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,1.4,2.8,5.6,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-1.8666666666666665,-0.5773502691896256,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,15114000,2,10.4,2,0.0,0.0,2.0,0.0,0.2,0.0,0.0,10.4,0.0,1.0400000000000003,0.0,0.0,2.0,0.0,0.2,0.5,1.0,2.0,0.0,2.6,5.2,10.4,0.0,0.5,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,-0.5773502691896256,-1.0,-3.466666666666667,-0.5773502691896257,-1.0,-0.6666666666666666,-0.5773502691896256,-1.0
13325038116,15120003,3,44.7,3,0.0,2.0,1.0,0.0,-0.1,0.0,29.8,14.9,0.0,-1.4899999999999998,0.0,2.0,1.0,0.0,-0.1,0.75,0.9574271077563381,2.0,0.5,11.175,14.265663905569438,29.8,7.45,0.75,0.9574271077563381,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-14.9,-1.0,-1.0,-1.0,-1.0,-1.0
13325038116,15120006,1,22.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,22.0,6.6,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,5.5,11.0,22.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,22.0,1.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0
13325038116,23110001,1,120.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,120.0,0.0,12.0,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,30.0,60.0,120.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-40.0,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,23132061,1,5.0,1,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,5.0,1.5,0.0,0.0,0.0,1.0,0.3,0.25,0.5,1.0,0.0,1.25,2.5,5.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
13325038116,24401008,1,12.68,1,0.0,1.0,0.0,0.0,-0.1,0.0,12.68,0.0,0.0,-1.268,0.0,1.0,0.0,0.0,-0.1,0.25,0.5,1.0,0.0,3.17,6.340000000000001,12.68,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-4.226666666666667,-0.5773502691896258,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
13325038116,27000582,1,22.0,1,0.0,0.0,1.0,0.0,0.1,0.0,0.0,22.0,0.0,2.2,0.0,0.0,1.0,0.0,0.1,0.25,0.5,1.0,0.0,5.5,11.0,22.0,0.0,0.25,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.5773502691896256,-1.0,-7.333333333333333,-0.5773502691896257,-1.0,-0.3333333333333333,-0.5773502691896256,-1.0
